Causes of death,Year,under 1 year_Male,1 to under 15 years_Male,15 to under 20 years_Male,20 to under 25 years_Male,25 to under 30 years_Male,30 to under 35 years_Male,35 to under 40 years_Male,40 to under 45 years_Male,45 to under 50 years_Male,50 to under 55 years_Male,55 to under 60 years_Male,60 to under 65 years_Male,65 to under 70 years_Male,70 to under 75 years_Male,75 to under 80 years_Male,80 to under 85 years_Male,85 years and over_Male,under 1 year_Female,1 to under 15 years_Female,15 to under 20 years_Female,20 to under 25 years_Female,25 to under 30 years_Female,30 to under 35 years_Female,35 to under 40 years_Female,40 to under 45 years_Female,45 to under 50 years_Female,50 to under 55 years_Female,55 to under 60 years_Female,60 to under 65 years_Female,65 to under 70 years_Female,70 to under 75 years_Female,75 to under 80 years_Female,80 to under 85 years_Female,85 years and over_Female
Diseases of the respiratory system,2013,14,41,10,29,18,36,51,116,284,545,1014,1785,2517,4941,6583,7224,9223,5,30,5,18,16,23,27,64,174,370,661,1007,1513,2783,4041,5444,14306
Influenza,2013,1,5,-,4,-,3,4,5,11,18,18,15,18,26,28,22,42,1,3,-,4,1,2,2,2,8,18,14,12,12,10,19,19,100
Pneumonia,2013,8,9,1,12,9,17,16,44,92,141,208,334,471,1066,1655,2211,3530,-,14,1,8,6,13,12,20,39,62,119,135,234,565,1071,1771,6024
Chronic lower respiratory diseases,2013,-,7,2,6,2,8,16,34,117,281,634,1119,1625,2883,3587,3596,3878,-,4,1,1,4,3,4,28,80,228,431,723,1071,1720,2201,2615,5190
Asthma,2013,-,5,2,3,2,4,10,13,17,30,45,40,30,52,46,58,84,-,3,1,-,2,2,2,12,14,27,24,34,42,62,110,108,266
"COVID-19, virus detected",2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"COVID-19, virus not detected",2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Diseases of the digestive system,2013,7,6,1,15,32,91,154,432,983,1590,1893,2150,1896,2772,2888,2735,2919,3,5,4,4,25,37,81,172,376,669,859,1043,1126,1776,2443,3219,7706
"Gastric, duodenal, peptic, gastrojejunal ulcer",2013,-,-,-,-,-,5,2,13,28,38,61,65,78,154,191,241,286,-,-,-,-,-,2,2,7,9,17,19,37,58,96,170,265,749
Diseases of liver,2013,-,1,-,2,17,58,114,309,740,1185,1419,1542,1171,1329,1064,633,366,-,1,2,2,13,22,54,120,273,499,597,654,590,717,658,504,599
"Alcohol. liver dis.,chr. hepatitis,fibrosis,cirrh.",2013,-,-,-,2,16,54,108,297,707,1147,1362,1470,1105,1242,971,554,299,-,1,-,2,10,20,50,115,253,480,563,619,535,645,554,409,444
Diseases of the skin and subcutaneous tissue,2013,-,-,-,-,-,-,-,4,6,9,18,27,31,58,81,95,124,-,-,-,1,-,1,-,2,8,6,17,18,27,72,115,180,474
Diseases of musculoskeletal sys. a. connec. tissue,2013,-,1,1,1,2,3,5,19,35,43,49,76,106,212,231,232,254,-,-,3,3,3,5,6,10,24,37,46,88,98,219,331,373,1008
Chronic polyarthritis and arthrosis,2013,-,-,-,-,1,1,1,3,7,5,9,13,29,39,60,55,67,-,-,-,-,-,-,-,-,1,6,4,19,17,59,96,106,278
Diseases of the genitourinary system,2013,-,2,-,2,3,5,8,17,39,98,158,293,459,996,1663,2062,3658,1,2,-,1,2,6,9,13,32,49,113,189,292,690,1477,2524,7025
Disorders of kidney,2013,-,2,-,1,2,4,7,13,31,79,122,238,366,781,1274,1580,2780,1,2,-,1,1,5,7,11,25,41,95,138,218,509,1069,1888,5458
"Pregnancy, childbirth and the puerperium",2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,12,8,3,3,-,2,-,-,-,-,-,-,-
Certain conditions origin. in the perinatal period,2013,610,6,3,2,1,2,2,2,-,2,2,-,1,1,1,-,-,474,2,-,1,-,2,1,1,-,-,-,-,-,1,-,-,-
"Congenital malform.,deform. a. chromosomal abnorm.",2013,350,80,34,22,21,23,20,24,32,48,60,68,47,21,13,11,13,315,57,15,8,15,21,16,22,33,43,57,61,42,28,29,26,31
Congenital malformations of the nervous system,2013,30,17,10,5,2,4,4,1,1,2,2,-,3,-,1,-,-,42,17,1,1,5,-,4,4,2,1,1,1,2,1,-,1,-
Congenital malformations of the circulatory system,2013,127,26,11,8,8,8,4,13,8,8,9,5,12,8,4,6,3,99,12,6,3,6,9,6,4,7,6,3,4,4,7,14,14,19
"Symp., signs a. abnormal clinical a. lab. findings",2013,143,32,27,55,94,129,204,375,728,1133,1348,1442,1357,1820,1607,1245,1779,108,21,16,39,39,42,75,111,277,344,461,574,652,992,1269,1503,5148
Sudden infant death syndrome,2013,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Other ill-defined and unknown causes of mortality,2013,56,28,24,51,88,127,196,363,707,1095,1293,1380,1280,1682,1433,985,986,39,18,15,39,37,40,70,109,261,332,433,539,607,880,1070,1107,2191
External causes of morbidity and mortality,2013,35,129,414,652,753,759,737,934,1426,1563,1402,1309,1186,1878,2158,2109,2979,20,93,153,184,178,206,200,296,455,516,470,503,559,987,1461,1928,5501
"Accidents, including their sequelae",2013,17,110,274,353,342,325,302,376,589,676,620,634,663,1137,1490,1550,2386,9,59,94,96,85,71,72,97,146,202,209,256,330,671,1138,1657,4980
Transport accidents,2013,1,32,221,273,219,170,141,162,243,236,192,142,109,201,200,144,103,1,29,75,67,61,37,29,40,54,51,58,52,58,96,108,85,81
Falls,2013,-,9,9,15,15,26,36,46,102,145,160,213,281,526,781,980,1628,1,3,5,3,6,9,9,13,21,50,45,98,134,308,621,1049,3495
Accidental drowning and submersion,2013,-,27,18,19,18,18,14,10,18,31,25,30,21,22,31,18,15,-,6,3,-,1,5,2,2,3,6,8,12,10,20,20,14,18
"Exposure to smoke, fire and flames",2013,1,7,1,1,6,7,5,20,18,15,24,18,23,29,20,27,19,1,3,2,-,1,-,4,6,10,12,12,8,9,13,17,26,50
Accid. poisoning by and exposure to noxious subst.,2013,-,3,4,15,43,64,60,64,68,49,31,17,12,14,14,8,12,-,2,3,8,9,15,9,16,18,20,15,6,6,11,5,5,24
Intentional self-harm,2013,-,6,119,272,349,389,383,498,744,795,693,585,443,655,577,470,471,-,12,46,65,79,109,99,164,263,277,227,211,185,251,234,178,227
Assault,2013,13,5,6,9,16,9,13,10,23,14,11,12,14,7,10,5,3,10,15,5,12,7,17,16,10,20,11,11,14,14,14,11,10,17
Event of undetermined intent,2013,5,7,15,18,45,34,37,49,66,77,75,75,65,76,77,82,119,1,6,8,11,7,9,11,23,25,24,22,21,30,50,76,83,277
Total,2013,1268,577,653,1078,1362,1740,2235,4334,9403,15826,22125,29847,34297,60178,73272,74702,96748,982,466,332,460,589,851,1229,2477,5147,8574,11695,16266,19864,37390,56453,78784,222621
Certain infectious and parasitic diseases,2014,16,20,7,12,16,31,65,109,209,280,436,495,541,1065,1514,1527,2007,9,22,5,9,9,15,37,48,68,140,209,283,388,750,1407,1803,4435
"Tuberculosis, including its sequelae",2014,-,-,1,-,2,-,3,1,5,6,13,10,12,19,28,26,43,-,-,1,-,2,1,-,1,4,1,5,6,6,10,26,31,47
Meningococcal infection,2014,1,1,-,1,-,-,1,1,-,-,1,2,1,-,-,1,1,1,4,2,1,-,-,1,-,1,3,-,-,1,1,1,-,3
Viral hepatitis,2014,-,-,-,-,1,3,9,19,40,50,79,53,42,41,50,30,31,-,-,-,-,-,2,6,7,11,20,38,31,27,37,61,79,87
HIV disease,2014,-,-,1,-,1,10,20,40,56,58,38,29,20,21,7,4,-,-,-,-,1,1,4,10,12,7,15,9,11,3,3,3,2,2
Neoplasms,2014,8,130,68,85,144,221,333,827,2303,5016,8263,12005,13377,21804,24306,18405,17825,11,97,53,63,120,252,480,982,2338,4408,6020,8243,9163,14596,18069,15908,24848
Malignant neoplasms,2014,7,126,66,85,137,218,319,810,2272,4955,8151,11837,13125,21348,23633,17772,16905,5,95,50,61,119,245,475,973,2308,4358,5968,8142,9003,14293,17531,15194,23172
"Malignant neoplasms of lip, oral cavity, pharynx",2014,-,-,-,1,4,5,10,46,171,433,597,717,560,614,482,240,215,-,1,-,1,2,4,7,12,36,93,140,165,159,191,167,115,260
Malignant neoplasms of oesophagus,2014,-,-,-,-,1,3,8,27,119,286,453,564,532,807,623,389,295,-,-,-,-,2,1,3,7,19,64,89,128,148,163,192,162,258
Malignant neoplasms of stomach,2014,-,-,1,-,4,10,22,63,132,266,379,533,550,879,1048,846,812,-,-,2,2,2,14,20,34,94,143,169,267,281,490,613,718,1216
Malignant neoplasms of colon,2014,-,1,3,2,10,10,20,42,135,255,383,670,807,1398,1783,1519,1540,-,-,1,1,5,9,26,46,105,188,296,403,524,999,1382,1420,2916
"Malig. neopl. of rectum,anus,rectosigmoid junction",2014,-,-,-,2,-,7,13,30,89,203,340,480,528,841,945,639,578,-,-,-,1,2,4,6,26,47,153,178,245,263,405,544,545,978
"Malignant neoplasms of liver, bile ducts, pancreas",2014,-,-,1,3,4,18,23,100,265,610,1021,1558,1797,2886,3146,2048,1541,1,2,1,1,3,7,17,54,136,332,558,931,1117,1976,2633,2232,3022
"Malig. neoplasms of liver, intrahepatic bile ducts",2014,-,-,-,2,2,7,5,34,71,169,367,591,650,1049,1152,684,463,1,2,1,1,2,4,5,21,29,71,116,197,213,378,460,415,524
Malignant neoplasms of pancreas,2014,-,-,1,1,2,9,13,52,165,387,565,850,991,1568,1651,1106,870,-,-,-,-,1,3,9,24,89,230,359,574,766,1296,1709,1425,1899
"Malig. neoplasms of larynx,trachea,bronchus,lung",2014,-,1,-,1,6,18,40,134,539,1417,2703,3854,4062,6082,5770,3705,2529,-,2,2,-,5,11,37,92,373,989,1553,1954,2036,2652,2409,1804,1829
Malignant neoplasms of bronchus and lung,2014,-,1,-,1,5,17,36,127,520,1354,2575,3653,3896,5828,5554,3569,2400,-,2,2,-,5,11,36,92,367,979,1523,1920,2007,2608,2371,1791,1799
Melanoma and other malignant neoplasms of skin,2014,-,-,1,1,9,9,18,56,78,98,141,178,187,329,431,323,380,-,-,-,3,7,8,21,31,51,72,75,109,137,182,236,221,468
Malignant melanoma of skin,2014,-,-,1,1,9,6,16,55,72,89,132,156,160,288,354,247,218,-,-,-,3,7,8,21,28,50,66,68,99,126,157,202,166,269
Malignant neoplasms of breast,2014,-,-,-,-,-,-,-,1,4,7,8,11,20,23,22,16,22,-,-,-,2,21,67,151,293,724,1034,1179,1484,1604,2329,2782,2274,3726
"Malig. neoplasms of genital organs, urinary tract",2014,1,5,4,7,8,16,28,61,181,392,749,1327,1836,3648,4949,4704,5862,-,1,1,7,21,37,81,170,358,677,869,1163,1320,2157,2887,2388,3523
Malignant neoplasms of cervix uteri,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,10,14,49,80,118,151,172,146,135,128,193,137,168
"Malig. neopl. of corpus uteri,uterus, part unspec.",2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,3,8,13,30,79,133,191,226,391,485,400,509
Malignant neoplasms of ovary,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,5,12,17,43,141,286,344,473,557,840,1077,742,816
Malignant neoplasms of prostate,2014,-,-,-,-,-,-,1,4,28,88,250,601,976,2097,2935,2903,3821,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Malignant neoplasms of kidney, except renal pelvis",2014,1,4,1,1,1,4,6,22,71,131,233,314,321,549,666,498,420,-,1,-,-,2,2,1,5,20,50,69,140,141,278,426,367,533
Malignant neoplasms of bladder,2014,-,-,-,-,-,1,-,14,33,75,145,205,285,542,731,780,1086,-,-,-,-,1,1,4,9,15,42,57,68,96,173,266,315,748
"Malig. neopl.of lymphoid,haematopoietic,rel.tissue",2014,1,31,20,29,33,36,31,70,157,309,454,688,889,1752,2202,1747,1560,1,25,12,19,18,26,26,65,106,179,290,418,562,1277,1783,1636,2157
Leukaemia,2014,1,23,11,20,16,22,13,28,63,106,168,261,362,721,931,747,675,1,23,8,16,13,16,14,37,54,83,125,172,214,511,690,645,953
Benign neoplasms,2014,-,-,-,-,3,1,2,7,7,9,10,13,20,37,56,47,55,3,-,-,-,-,2,1,3,5,8,6,18,25,39,61,67,125
Diseases of the blood and blood-forming organs,2014,5,12,3,2,2,5,4,11,18,30,37,56,74,154,211,214,360,6,4,3,7,4,5,4,10,16,18,31,46,60,126,248,318,827
"Endocrine, nutritional and metabolic diseases",2014,11,29,10,17,29,41,57,125,280,448,632,850,960,1573,2312,2247,3025,11,14,6,27,21,29,29,64,123,171,310,438,547,1061,2258,3004,8511
Diabetes mellitus,2014,-,2,5,4,15,19,24,72,166,257,432,613,721,1282,1957,1920,2452,-,-,1,7,5,3,9,28,52,90,166,274,372,779,1789,2471,6656
Mental and behavioural disorders,2014,-,2,6,24,80,136,203,274,491,761,780,803,591,1050,1744,2366,4663,1,2,2,8,18,45,38,77,146,202,234,278,271,708,1614,3339,14978
Mental and behav. disorders due to use of alcohol,2014,-,-,4,2,15,40,84,163,370,646,660,660,377,426,283,115,77,-,-,-,-,1,13,17,41,104,156,166,190,111,144,109,68,72
Mental a.behav. dis. due to oth. psychoactive sub.,2014,-,-,2,20,61,90,112,93,96,74,51,30,7,6,4,-,2,-,-,-,6,17,22,14,19,23,19,20,9,3,4,6,4,5
Diseases of the nervous system and sensory organs,2014,29,56,49,63,64,69,69,133,260,383,468,689,766,1583,2574,2520,2875,24,54,18,29,31,35,53,89,190,283,391,484,592,1225,2049,2415,5276
Meningitis,2014,2,2,1,1,-,1,-,2,2,3,4,5,8,9,9,9,6,3,2,-,1,-,-,1,1,1,1,2,5,4,7,9,9,14
Diseases of the circulatory system,2014,11,28,28,53,105,198,331,753,1819,3555,5236,7681,9174,17080,26232,29126,47128,11,20,25,41,65,102,154,319,681,1250,1821,2818,4108,9232,19938,32543,116390
Hypertensive diseases,2014,-,1,-,1,1,9,12,36,103,162,300,382,500,950,1648,2266,4945,1,1,-,-,2,2,7,15,37,81,125,198,309,810,2049,3851,18384
Ischaemic heart diseases,2014,-,-,2,7,14,51,97,324,855,1790,2673,3891,4499,7960,11692,12371,18241,-,-,2,4,4,11,28,71,217,395,592,1014,1464,3135,6496,10062,33204
Acute or subsequent myocardial infarction,2014,-,-,1,5,7,42,81,243,649,1270,1821,2335,2453,3895,5069,4699,5933,-,-,-,3,3,7,17,59,165,284,406,631,818,1620,3035,4107,10446
Other forms of heart disease,2014,10,13,15,24,52,61,106,187,380,720,986,1384,1639,3157,5042,6109,11876,10,10,10,15,21,30,33,67,147,230,363,553,804,1925,4329,7776,31623
Other diseases of endocardium,2014,-,5,1,2,4,4,11,19,43,86,96,203,244,516,923,1166,1841,-,1,-,-,1,5,4,12,12,45,49,81,145,351,842,1495,4758
Cerebrovascular diseases,2014,-,3,5,9,20,26,53,86,201,394,556,959,1272,2618,4375,4706,6729,-,5,5,9,13,32,45,78,152,294,374,537,776,1819,3912,6262,18907
"Stroke, not specified as haemorrhage or infarction",2014,-,-,-,-,1,2,5,7,18,60,92,182,309,612,1122,1397,2325,-,-,1,2,1,1,2,3,7,19,40,75,137,375,1011,1943,7004
"Diseases of arteries, arterioles and capillaries",2014,-,4,1,-,4,16,17,33,90,184,319,443,585,1143,1502,1575,2340,-,1,-,1,6,4,7,18,38,64,129,173,278,560,1047,1533,5762
Diseases of the respiratory system,2014,11,23,9,19,18,21,48,79,233,493,923,1706,2326,4301,6399,6428,8707,3,19,7,11,11,15,34,64,135,294,555,974,1371,2518,3788,4759,12302
Influenza,2014,-,-,-,-,-,-,2,3,3,1,5,7,2,3,4,3,7,-,1,-,-,-,-,1,2,-,2,2,5,4,1,5,6,10
Pneumonia,2014,3,7,1,3,11,9,15,22,77,99,165,294,389,859,1565,1832,3123,1,10,3,4,1,3,13,19,30,50,74,133,184,445,916,1413,4938
Chronic lower respiratory diseases,2014,-,2,1,7,4,3,14,32,98,284,585,1127,1518,2608,3511,3296,3799,-,3,-,3,2,5,10,24,71,179,398,710,969,1621,2095,2307,4712
Asthma,2014,-,1,1,5,1,3,9,5,22,23,33,37,39,44,59,60,73,-,3,-,2,2,3,6,7,16,17,26,30,35,55,81,79,237
"COVID-19, virus detected",2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"COVID-19, virus not detected",2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Diseases of the digestive system,2014,3,7,3,13,33,84,169,372,893,1478,1795,2167,1848,2544,3072,2524,2988,5,7,2,8,18,45,56,157,372,699,781,947,1013,1580,2521,2927,7406
"Gastric, duodenal, peptic, gastrojejunal ulcer",2014,-,-,-,1,-,7,3,10,19,36,45,63,83,119,193,174,284,-,-,-,-,-,3,3,3,9,17,24,30,46,71,167,220,623
Diseases of liver,2014,1,4,1,6,19,49,118,277,666,1121,1303,1488,1135,1251,1134,635,382,2,1,-,3,6,25,41,113,276,524,536,609,540,645,756,485,592
"Alcohol. liver dis.,chr. hepatitis,fibrosis,cirrh.",2014,-,3,1,3,17,45,108,264,645,1075,1257,1427,1075,1170,1033,542,308,-,-,-,1,3,24,40,106,271,495,506,576,497,573,648,396,418
Diseases of the skin and subcutaneous tissue,2014,-,-,-,-,-,-,1,3,5,20,24,36,32,62,86,101,141,-,-,-,-,1,1,-,2,3,14,20,17,26,83,103,166,469
Diseases of musculoskeletal sys. a. connec. tissue,2014,1,3,1,3,2,4,5,6,23,45,50,81,103,157,214,210,267,-,1,-,2,3,8,6,7,18,29,41,74,85,200,338,380,950
Chronic polyarthritis and arthrosis,2014,-,-,-,-,1,-,-,-,2,7,4,17,28,31,50,52,70,-,-,-,-,-,-,-,1,2,3,9,18,22,55,93,106,259
Diseases of the genitourinary system,2014,1,3,1,5,4,8,9,21,63,96,156,277,437,936,1713,2190,3859,1,6,2,-,1,3,7,14,28,56,96,168,248,653,1478,2411,7296
Disorders of kidney,2014,1,3,1,5,4,7,8,12,45,72,115,213,345,683,1289,1679,2959,1,5,2,-,1,-,4,7,19,37,70,120,167,473,1085,1766,5609
"Pregnancy, childbirth and the puerperium",2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,12,6,2,1,-,-,-,-,-,-,-,-
Certain conditions origin. in the perinatal period,2014,690,3,1,1,2,2,-,-,-,1,1,3,2,-,-,-,-,515,3,3,1,-,-,1,-,-,2,1,2,1,-,2,-,-
"Congenital malform.,deform. a. chromosomal abnorm.",2014,329,61,18,19,14,27,25,18,33,70,76,64,35,29,20,8,20,323,65,15,11,10,13,9,17,34,39,62,78,24,36,20,18,25
Congenital malformations of the nervous system,2014,27,9,7,3,1,5,4,1,3,4,1,1,-,-,-,-,-,24,13,8,1,3,4,2,1,2,2,1,2,-,-,1,-,-
Congenital malformations of the circulatory system,2014,107,16,6,5,7,6,11,5,8,14,7,7,3,7,4,1,8,92,18,2,2,2,1,2,4,10,3,6,6,5,12,7,11,16
"Symp., signs a. abnormal clinical a. lab. findings",2014,120,32,28,72,101,154,216,404,778,1217,1419,1550,1338,1849,1743,1275,1834,78,22,22,32,30,45,72,110,279,385,498,612,706,1017,1356,1482,4923
Sudden infant death syndrome,2014,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Other ill-defined and unknown causes of mortality,2014,43,26,28,71,99,153,207,390,748,1175,1358,1492,1272,1726,1564,1048,1151,33,21,20,31,30,43,69,103,275,368,477,575,662,927,1171,1143,2321
External causes of morbidity and mortality,2014,31,147,398,698,736,746,718,871,1401,1601,1441,1442,1163,1880,2188,2107,3277,20,79,136,174,173,174,178,263,412,508,489,492,513,951,1487,1964,5809
"Accidents, including their sequelae",2014,19,113,239,402,336,304,300,327,576,648,665,757,670,1138,1469,1575,2702,16,58,70,91,61,56,56,86,132,156,212,253,309,677,1213,1736,5354
Transport accidents,2014,1,50,197,306,217,179,126,138,243,243,193,171,114,176,205,134,103,-,29,62,68,37,27,24,43,47,44,57,48,55,85,113,93,95
Falls,2014,1,10,7,16,24,27,31,48,106,169,199,273,278,533,759,1002,1880,-,1,3,5,7,4,10,7,22,39,55,78,124,318,683,1085,3778
Accidental drowning and submersion,2014,-,12,11,19,15,12,18,10,21,18,21,24,17,28,32,21,8,2,10,-,3,2,-,3,5,4,5,7,5,8,6,16,12,14
"Exposure to smoke, fire and flames",2014,-,6,2,3,4,8,5,13,14,19,31,19,14,29,20,13,14,1,5,2,1,-,3,2,1,4,7,15,6,7,14,17,13,35
Accid. poisoning by and exposure to noxious subst.,2014,-,1,7,25,40,51,69,54,64,49,33,17,16,17,14,10,9,-,3,1,7,8,10,6,16,13,12,16,9,11,12,12,10,30
Intentional self-harm,2014,-,20,137,260,356,394,359,484,745,853,691,604,445,668,650,462,496,-,8,57,64,86,96,103,151,245,301,244,203,182,224,220,173,228
Assault,2014,10,11,9,8,11,6,13,18,15,26,10,12,7,7,6,3,2,3,10,5,11,17,8,12,14,18,24,12,9,11,10,10,6,14
Event of undetermined intent,2014,2,3,13,28,33,41,42,40,63,71,74,67,41,64,62,67,77,1,3,4,7,9,14,7,12,17,25,20,24,11,39,42,48,207
Total,2014,1266,556,630,1086,1350,1747,2253,4006,8809,15494,21737,29905,32767,56067,74328,71248,98976,1018,415,299,424,522,799,1164,2225,4844,8498,11559,15954,19116,34736,56676,73437,214445
Certain infectious and parasitic diseases,2015,19,26,7,10,19,33,58,133,199,321,416,530,608,1023,1755,1735,2379,9,24,9,3,21,14,29,43,88,144,215,303,416,780,1545,2042,4987
"Tuberculosis, including its sequelae",2015,-,-,-,1,1,-,4,7,6,11,19,14,12,19,31,29,35,-,1,-,-,3,1,1,1,2,3,5,4,8,13,25,19,36
Meningococcal infection,2015,1,6,1,1,2,-,-,-,-,1,-,-,-,1,1,-,2,4,4,-,-,1,-,-,-,1,1,-,1,1,1,1,-,1
Viral hepatitis,2015,-,-,-,1,-,4,10,33,42,80,76,71,46,42,48,34,41,-,-,-,-,-,-,5,6,13,25,31,27,33,33,76,72,90
HIV disease,2015,-,-,1,2,2,11,17,36,47,47,43,29,21,25,18,7,-,-,1,-,-,2,7,8,7,8,10,4,7,5,4,1,-,1
Neoplasms,2015,10,125,72,106,172,242,350,794,2166,4854,8313,12180,14194,20042,25166,18985,18636,10,93,41,72,108,262,461,901,2290,4358,6265,8409,9765,13740,18631,16769,25170
Malignant neoplasms,2015,3,118,71,100,163,233,344,781,2139,4787,8193,11994,13965,19606,24453,18320,17646,7,86,38,68,106,254,453,891,2273,4311,6194,8274,9601,13458,18049,15978,23380
"Malignant neoplasms of lip, oral cavity, pharynx",2015,-,-,-,3,3,6,8,35,159,425,627,734,571,574,474,260,207,-,-,-,-,1,1,6,12,30,87,145,185,166,169,179,134,263
Malignant neoplasms of oesophagus,2015,-,-,-,-,1,9,10,31,120,278,467,615,633,705,676,421,303,-,-,-,-,-,-,4,5,12,45,81,119,139,212,204,176,241
Malignant neoplasms of stomach,2015,-,-,1,4,3,14,22,43,142,255,395,535,532,776,1057,820,830,-,-,1,3,6,11,23,34,72,143,165,263,282,395,629,650,1152
Malignant neoplasms of colon,2015,-,-,-,2,6,12,15,67,99,256,418,633,856,1282,1781,1517,1604,-,1,-,2,6,11,22,34,99,196,306,422,528,839,1338,1437,2883
"Malig. neopl. of rectum,anus,rectosigmoid junction",2015,-,-,1,1,4,9,16,31,92,209,336,477,553,791,964,708,609,-,-,-,-,1,6,10,20,57,116,167,250,244,441,551,567,942
"Malignant neoplasms of liver, bile ducts, pancreas",2015,-,2,3,7,10,21,32,88,240,557,1056,1573,1985,2670,3392,2105,1598,1,3,2,4,5,7,28,58,184,347,608,957,1200,1853,2795,2313,2995
"Malig. neoplasms of liver, intrahepatic bile ducts",2015,-,2,3,4,4,8,12,30,63,165,351,602,694,907,1230,679,477,-,3,2,3,4,2,6,16,49,83,127,202,263,362,500,431,558
Malignant neoplasms of pancreas,2015,-,-,-,1,3,13,15,49,157,346,623,822,1120,1488,1792,1169,899,1,-,-,-,1,5,19,32,102,224,391,638,786,1250,1832,1489,1889
"Malig. neoplasms of larynx,trachea,bronchus,lung",2015,-,1,-,2,4,16,38,134,494,1361,2625,3916,4336,5472,5931,3710,2629,-,2,1,-,1,7,26,92,392,940,1593,2078,2277,2581,2494,1760,1842
Malignant neoplasms of bronchus and lung,2015,-,1,-,2,4,15,35,127,461,1277,2496,3721,4152,5251,5717,3590,2505,-,2,1,-,1,7,23,91,388,926,1575,2048,2232,2547,2467,1742,1820
Melanoma and other malignant neoplasms of skin,2015,-,-,-,2,5,11,17,39,76,116,137,138,199,289,435,349,418,-,1,2,3,2,9,25,21,83,77,81,105,95,171,231,210,521
Malignant melanoma of skin,2015,-,-,-,-,5,11,16,39,73,109,131,112,178,239,364,253,237,-,-,1,3,1,9,23,21,80,74,76,89,83,144,197,171,315
Malignant neoplasms of breast,2015,-,-,-,-,-,-,1,3,6,8,9,12,18,20,30,30,22,-,-,-,5,12,64,133,313,646,1042,1243,1420,1627,2243,2988,2567,3833
"Malig. neoplasms of genital organs, urinary tract",2015,-,3,2,7,22,20,23,53,135,371,771,1369,1910,3441,5047,4867,6140,-,7,1,8,20,45,71,135,354,681,921,1175,1420,2053,2955,2661,3642
Malignant neoplasms of cervix uteri,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,9,24,34,57,109,169,181,157,142,155,197,116,190
"Malig. neopl. of corpus uteri,uterus, part unspec.",2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,4,10,35,77,126,239,257,333,510,450,556
Malignant neoplasms of ovary,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,8,8,22,42,133,287,378,440,569,820,1030,826,864
Malignant neoplasms of prostate,2015,-,-,-,-,-,-,-,3,15,109,260,625,964,2034,2974,2954,3962,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Malignant neoplasms of kidney, except renal pelvis",2015,-,2,-,2,2,5,7,17,49,125,232,320,350,495,655,563,482,-,7,-,2,1,4,2,3,17,46,83,110,135,248,417,434,597
Malignant neoplasms of bladder,2015,-,1,-,1,-,1,-,11,27,59,140,226,307,459,786,801,1144,-,-,-,-,-,3,2,7,22,40,50,69,103,158,332,353,733
"Malig. neopl.of lymphoid,haematopoietic,rel.tissue",2015,1,38,21,29,41,42,49,77,189,295,442,687,917,1677,2285,1828,1648,1,23,13,11,14,29,40,44,107,181,268,414,636,1152,1808,1725,2194
Leukaemia,2015,1,34,15,25,25,25,32,36,74,109,161,275,360,692,996,713,717,1,19,8,8,7,18,28,25,60,88,120,144,245,440,679,694,995
Benign neoplasms,2015,2,-,-,-,1,3,2,2,3,8,15,14,20,30,59,50,68,-,-,1,-,2,-,1,3,4,12,16,19,21,32,56,85,133
Diseases of the blood and blood-forming organs,2015,8,3,-,7,9,4,3,13,21,36,59,70,95,166,265,274,399,6,6,5,1,4,2,5,8,15,24,26,46,63,130,251,348,963
"Endocrine, nutritional and metabolic diseases",2015,25,20,12,16,29,56,77,110,265,445,644,881,1187,1601,2544,2560,3612,11,26,12,11,25,30,40,52,111,219,287,438,597,1111,2299,3358,9763
Diabetes mellitus,2015,-,1,2,4,12,21,31,61,141,284,430,651,906,1309,2064,2130,2825,-,2,4,1,4,7,13,20,43,103,154,309,387,761,1802,2674,7245
